person_id,display_first_last,player_slug,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey,position,rosterstatus,games_played_current_season_flag,team_id,team_name,team_abbreviation,team_code,team_city,playercode,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag,age,feet,inches,height_m,weight_kg,BMI
76001,Alaa Abdelnaby,alaa-abdelnaby,1968-06-24,Duke,USA,Duke/USA,6-10,240.0,5.0,30,Forward,Inactive,False,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_alaa_abdelnaby,1990.0,1994.0,False,True,True,1990,1,25,False,57,6.0,10.0,2.0827999999999998,108.86207999999999,25.094670058465642
76003,Kareem Abdul-Jabbar,kareem-abdul-jabbar,1947-04-16,UCLA,USA,UCLA/USA,7-2,225.0,20.0,33,Center,Inactive,False,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_kareem_abdul-jabbar,1969.0,1988.0,False,True,True,1969,1,1,True,78,7.0,2.0,2.1844,102.0582,21.388659597221842
1505,Tariq Abdul-Wahad,tariq-abdul-wahad,1974-11-03,San Jose State,France,San Jose State/France,6-6,235.0,7.0,9,Forward-Guard,Inactive,False,1610612758,Kings,SAC,kings,Sacramento,tariq_abdul-wahad,1997.0,2003.0,False,True,True,1997,1,11,False,51,6.0,6.0,1.9811999999999999,106.59412,27.15667594385814
949,Shareef Abdur-Rahim,shareef-abdur-rahim,1976-12-11,California,USA,California/USA,6-9,245.0,13.0,3,Forward,Inactive,False,1610612763,Grizzlies,VAN,grizzlies,Vancouver,shareef_abdur-rahim,1996.0,2007.0,False,True,True,1996,1,3,False,49,6.0,9.0,2.0574,111.13004,26.253910456304375
76005,Tom Abernethy,tom-abernethy,1954-05-06,Indiana,USA,Indiana/USA,6-7,220.0,5.0,5,Forward,Inactive,False,1610612744,Warriors,GOS,warriors,Golden State,HISTADD_tom_abernethy,1976.0,1980.0,False,True,True,1976,3,43,False,71,6.0,7.0,2.0065999999999997,99.79024,24.783717569357915
76006,Forest Able,forest-able,1932-07-27,Western Kentucky,USA,Western Kentucky/USA,6-3,180.0,1.0,6,Guard,Inactive,False,1610612755,Nationals,PHI,sixers,Syracuse,HISTADD_frosty_able,1956.0,1956.0,False,True,True,1956,,,False,93,6.0,3.0,1.905,81.64656,22.498208196416392
76007,John Abramovic,john-abramovic,1919-02-09,Salem,USA,Salem/USA,6-3,195.0,2.0,,Forward,Inactive,False,1610610031,Ironmen,PIT,ironmen,Pittsburgh,HISTADD_brooms_abramovic,1946.0,1947.0,False,True,True,Undrafted,Undrafted,Undrafted,False,106,6.0,3.0,1.905,88.45044,24.373058879451094
203518,Alex Abrines,alex-abrines,1993-08-01,FC Barcelona,Spain,FC Barcelona/Spain,6-6,200.0,3.0,,Guard,Inactive,False,0,,,,,alex_abrines,2016.0,2018.0,False,True,True,2013,2,32,False,32,6.0,6.0,1.9811999999999999,90.7184,23.112064633070755
1630173,Precious Achiuwa,precious-achiuwa,1999-09-19,Memphis,Nigeria,Memphis/Nigeria,6-8,225.0,3.0,5,Forward,Active,False,1610612761,Raptors,TOR,raptors,Toronto,precious_achiuwa,2020.0,2023.0,False,True,True,2020,1,20,False,26,6.0,8.0,2.032,102.0582,24.71726974703949
101165,Alex Acker,alex-acker,1983-01-21,Pepperdine,USA,Pepperdine/USA,6-5,185.0,3.0,3,Guard,Inactive,False,1610612746,Clippers,LAC,clippers,Los Angeles,alex_acker,2005.0,2008.0,True,True,True,2005,2,60,False,42,6.0,5.0,1.9558,83.91452,21.93755542849254
76008,Donald Ackerman,donald-ackerman,1930-09-04,Long Island-Brooklyn,USA,Long Island-Brooklyn/USA,6-0,183.0,1.0,,Guard,Inactive,False,1610612752,Knicks,NYK,knicks,New York,HISTADD_buddy_ackerman,1953.0,1953.0,False,True,True,1953,2,,False,95,6.0,0.0,1.8288,83.007336,24.81898690649233
76009,Mark Acres,mark-acres,1962-11-15,Oral Roberts,USA,Oral Roberts/USA,6-11,220.0,6.0,42,Center,Inactive,False,1610612753,Magic,ORL,magic,Orlando,HISTADD_mark_acres,1987.0,1992.0,False,True,True,1985,2,40,False,63,6.0,11.0,2.1082,99.79024,22.452486768814442
76010,Charles Acton,charles-acton,1942-01-11,Hillsdale,USA,Hillsdale/USA,6-6,210.0,1.0,24,Forward,Inactive,False,1610612745,Rockets,SDR,rockets,San Diego,HISTADD_bud_acton,1967.0,1967.0,False,True,True,Undrafted,Undrafted,Undrafted,False,83,6.0,6.0,1.9811999999999999,95.25431999999999,24.26766786472429
203112,Quincy Acy,quincy-acy,1990-10-06,Baylor,USA,Baylor/USA,6-7,240.0,7.0,,Forward,Inactive,False,0,,,,,quincy_acy,2012.0,2018.0,True,True,True,2012,2,37,False,35,6.0,7.0,2.0065999999999997,108.86207999999999,27.036782802935907
76011,Alvan Adams,alvan-adams,1954-07-19,Oklahoma,USA,Oklahoma/USA,6-9,210.0,13.0,33,Center,Inactive,False,1610612756,Suns,PHX,suns,Phoenix,HISTADD_alvan_adams,1975.0,1987.0,False,True,True,1975,1,4,False,71,6.0,9.0,2.0574,95.25431999999999,22.503351819689463
76012,Don Adams,don-adams,1947-11-27,Northwestern,USA,Northwestern/USA,6-7,210.0,7.0,10,Forward,Inactive,False,1610612765,Pistons,DET,pistons,Detroit,HISTADD_don_adams,1970.0,1976.0,False,True,True,1970,8,120,False,78,6.0,7.0,2.0065999999999997,95.25431999999999,23.657184952568915
200801,Hassan Adams,hassan-adams,1984-06-20,Arizona,USA,Arizona/USA,6-4,220.0,2.0,,Forward,Inactive,False,0,,,,,hassan_adams,2006.0,2008.0,False,True,True,2006,2,54,False,41,6.0,4.0,1.9304,99.79024,26.77894413960573
1629121,Jaylen Adams,jaylen-adams,1996-05-04,St. Bonaventure,USA,St. Bonaventure/USA,6-0,225.0,3.0,,Guard,Inactive,False,0,,,,,jaylen_adams,2018.0,2020.0,True,True,True,Undrafted,Undrafted,Undrafted,False,29,6.0,0.0,1.8288,102.0582,30.515147835851227
203919,Jordan Adams,jordan-adams,1994-07-08,UCLA,USA,UCLA/USA,6-5,209.0,3.0,3,Guard,Inactive,False,1610612763,Grizzlies,MEM,grizzlies,Memphis,jordan_adams,2014.0,2015.0,True,True,True,2014,1,22,False,31,6.0,5.0,1.9558,94.80072799999999,24.783508565161842
149,Michael Adams,michael-adams,1963-01-19,Boston College,USA,Boston College/USA,5-10,165.0,11.0,23,Guard,Inactive,False,1610612743,Nuggets,DEN,nuggets,Denver,michael_adams,1985.0,1995.0,False,True,True,1985,3,66,False,62,5.0,10.0,1.778,74.84268,23.67477265566776
